transaction_id|account_id|transaction_type|amount|currency|description|category|merchant_name|merchant_category|transaction_date|posted_date|reference_number|balance_after
TXN2F76105004|ACCT0EA14D1D|debit|171.5|USD|Utilities Transaction|utilities||utilities|2024-01-01 14:14:00|2024-01-01 14:14:00|REF200033|
TXN0BC2C24A97|ACCTCCCAD158|withdrawal|144.88|USD|Atm Transaction|atm||atm|2024-01-04 17:50:00|2024-01-04 17:50:00|REF338318|
TXN04EE872219|ACCTBA10D426|debit|70.7|USD|Shopping Transaction|shopping||shopping|2024-01-06 14:11:00|2024-01-06 14:11:00|REF294853|
TXN667C4E3E8B|ACCT5AE7B360|debit|56.38|USD|Entertainment Transaction|entertainment||entertainment|2024-01-07 23:38:00|2024-01-07 23:38:00|REF959349|
TXNF6A30935C0|ACCT39D1C476|debit|109.68|USD|Subway #2623|restaurant|Subway #2623|restaurant|2024-01-08 19:01:00|2024-01-08 19:01:00|REF783458|
TXNAF7FBAF212|ACCT0994E445|debit|86.94|USD|Kroger Store 2762|grocery|Kroger Store 2762|grocery|2024-01-09 17:06:00|2024-01-09 17:06:00|REF880379|
TXN4DD1BDA733|ACCT9BE30B86|withdrawal|24.23|USD|Atm Transaction|atm||atm|2024-01-10 07:14:00|2024-01-10 07:14:00|REF217707|
TXN58EF098A16|ACCTC0B93B15|withdrawal|49.29|USD|Atm Transaction|atm||atm|2024-01-11 09:06:00|2024-01-11 09:06:00|REF234063|
TXN3A1BE00DC3|ACCT7619B9E4|debit|49.66|USD|Entertainment Transaction|entertainment||entertainment|2024-01-14 14:32:00|2024-01-14 14:32:00|REF854703|
TXN443ADBC486|ACCT5AE7B360|withdrawal|55.81|USD|Atm Transaction|atm||atm|2024-01-15 10:47:00|2024-01-15 10:47:00|REF949280|
TXNE6DCEA65DF|ACCTEF134587|debit|50.02|USD|McDonald's #9111|restaurant|McDonald's #9111|restaurant|2024-01-16 13:09:00|2024-01-16 13:09:00|REF986561|
TXN24B89AC743|ACCT516B9C9E|withdrawal|190.96|USD|Atm Transaction|atm||atm|2024-01-17 15:24:00|2024-01-17 15:24:00|REF807603|
TXN02E76631AA|ACCT75061B72|debit|54.04|USD|Olive Garden|restaurant|Olive Garden|restaurant|2024-01-19 13:00:00|2024-01-19 13:00:00|REF239343|
TXN78285691DE|ACCT7131A86E|debit|172.81|USD|Trader Joe's|grocery|Trader Joe's|grocery|2024-01-20 17:31:00|2024-01-20 17:31:00|REF472041|
TXNC52B65249F|ACCTF7975709|debit|25.53|USD|Local Cafe|restaurant|Local Cafe|restaurant|2024-01-21 20:52:00|2024-01-21 20:52:00|REF821464|
TXN7F35B27D4F|ACCT8740464A|debit|39.02|USD|Whole Foods Market|grocery|Whole Foods Market|grocery|2024-01-23 21:36:00|2024-01-23 21:36:00|REF338308|
TXN61AB96D192|ACCTAD0A15CF|debit|28.48|USD|Chipotle Mexican Grill|restaurant|Chipotle Mexican Grill|restaurant|2024-01-24 17:30:00|2024-01-24 17:30:00|REF129906|
TXNF036AA93FA|ACCT37FE1FAE|debit|57.05|USD|Walmart Supercenter|grocery|Walmart Supercenter|grocery|2024-01-26 19:21:00|2024-01-26 19:21:00|REF332760|
TXNB927BCFB21|ACCTE7F0CAC9|debit|35|USD|Olive Garden|restaurant|Olive Garden|restaurant|2024-01-27 12:12:00|2024-01-27 12:12:00|REF664030|
TXN8964628C8F|ACCT75B7C54C|debit|73.63|USD|Kroger Store 1239|grocery|Kroger Store 1239|grocery|2024-01-28 17:12:00|2024-01-28 17:12:00|REF916605|
TXNBC248EEA3A|ACCTA90C07F1|debit|111.49|USD|Olive Garden|restaurant|Olive Garden|restaurant|2024-01-29 12:55:00|2024-01-29 12:55:00|REF606594|
TXN4C299F76B3|ACCT0EA14D1D|debit|165.8|USD|Target #9378|grocery|Target #9378|grocery|2024-02-01 17:23:00|2024-02-01 17:23:00|REF335159|
TXN613D0B197E|ACCT6D852B0C|debit|143.88|USD|Trader Joe's|grocery|Trader Joe's|grocery|2024-02-02 21:19:00|2024-02-02 21:19:00|REF357913|
TXN1B4C8D4B19|ACCTBB732350|debit|83.86|USD|Shopping Transaction|shopping||shopping|2024-02-03 08:41:00|2024-02-03 08:41:00|REF762838|
TXN635DBDC257|ACCTEEE2509C|debit|28.46|USD|Shopping Transaction|shopping||shopping|2024-02-03 16:09:00|2024-02-03 16:09:00|REF188127|
TXN65E438E750|ACCT067ACA82|debit|76.48|USD|Entertainment Transaction|entertainment||entertainment|2024-02-04 21:45:00|2024-02-04 21:45:00|REF512296|
TXNDC84DF43FC|ACCT17FB3F7D|debit|64.02|USD|Local Cafe|restaurant|Local Cafe|restaurant|2024-02-05 12:16:00|2024-02-05 12:16:00|REF723179|
TXNC6F7955C0C|ACCTD4E5F9CB|debit|23.91|USD|Chipotle Mexican Grill|restaurant|Chipotle Mexican Grill|restaurant|2024-02-07 11:30:00|2024-02-07 11:30:00|REF497430|
TXN49609EE73C|ACCT37FE1FAE|debit|65.73|USD|Kroger Store 3078|grocery|Kroger Store 3078|grocery|2024-02-09 18:09:00|2024-02-09 18:09:00|REF672842|
TXN8EDF36675C|ACCTA946F269|debit|37.41|USD|Shopping Transaction|shopping||shopping|2024-02-10 22:43:00|2024-02-10 22:43:00|REF865903|
TXNEDC3E4B2E4|ACCT277A5841|debit|43.21|USD|Kroger Store 6898|grocery|Kroger Store 6898|grocery|2024-02-11 19:39:00|2024-02-11 19:39:00|REF780238|
TXN57E1E4214A|ACCT5AE7B360|withdrawal|144.42|USD|Atm Transaction|atm||atm|2024-02-12 21:47:00|2024-02-12 21:47:00|REF141699|
TXN6FF7C2A6D5|ACCTCCCAD158|debit|87.33|USD|Starbucks #5867|restaurant|Starbucks #5867|restaurant|2024-02-14 21:23:00|2024-02-14 21:23:00|REF300041|
TXN26E270A033|ACCT41ABDE77|debit|27.15|USD|Safeway #1070|grocery|Safeway #1070|grocery|2024-02-15 17:55:00|2024-02-15 17:55:00|REF967401|
TXN4ABBDAA24A|ACCT3CEF36A5|debit|49.82|USD|Costco Gas|gas|Costco Gas|gas|2024-02-16 07:15:00|2024-02-16 07:15:00|REF949625|
TXN56216308A6|ACCTBC57E704|debit|38.28|USD|Olive Garden|restaurant|Olive Garden|restaurant|2024-02-17 07:17:00|2024-02-17 07:17:00|REF463869|
TXN911C832405|ACCTD449D6E2|debit|75.12|USD|Entertainment Transaction|entertainment||entertainment|2024-02-18 06:37:00|2024-02-18 06:37:00|REF143211|
TXN0EF85A86F4|ACCTB59FC520|withdrawal|74.99|USD|Atm Transaction|atm||atm|2024-02-20 15:23:00|2024-02-20 15:23:00|REF428864|
TXN780EA31ED5|ACCT17FB3F7D|debit|33.89|USD|Chipotle Mexican Grill|restaurant|Chipotle Mexican Grill|restaurant|2024-02-21 14:59:00|2024-02-21 14:59:00|REF504642|
TXN5307DAED97|ACCT59893522|withdrawal|67.52|USD|Atm Transaction|atm||atm|2024-02-23 15:28:00|2024-02-23 15:28:00|REF556674|
TXN56EDD0656E|ACCTD776F8FB|debit|50.4|USD|BP Gas Station|gas|BP Gas Station|gas|2024-02-26 07:58:00|2024-02-26 07:58:00|REF199625|
TXN5FD57738DA|ACCT356A7B06|debit|75.94|USD|Arco #9491|gas|Arco #9491|gas|2024-02-27 18:17:00|2024-02-27 18:17:00|REF311754|
TXN30A1D403DE|ACCT849EF1E3|deposit|5981.18|USD|Salary Transaction|salary||salary|2024-02-28 14:33:00|2024-02-28 14:33:00|REF686980|
TXNE247E90229|ACCTF16D07CB|withdrawal|78.43|USD|Atm Transaction|atm||atm|2024-02-29 17:30:00|2024-02-29 17:30:00|REF778589|
